#C:/Users/KIMED 1/Documents/Junaidin/iGEMDOCKv2.1/output/extracted_cav/cav4mxo_DB8.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav4mxo_DB8-1472785679-0.pdb	-80.3263	-67.1277	-13.1986	0	22.9048
cav4mxo_DB8-1516027740-0.pdb	-85.1198	-65.5778	-19.542	0	20.0455
cav4mxo_DB8-1604316247-0.pdb	-78.3116	-73.3429	-5.76191	0.793239	19.875
cav4mxo_DB8-1604316248-0.pdb	-95.7281	-81.1432	-14.8892	0.304305	25.0417
cav4mxo_DB8-1611872747-0.pdb	-102.114	-91.6619	-10.4518	0	24.3462
cav4mxo_DB8-1614692408-0.pdb	-87.0219	-64.3512	-22.6708	0	18.875
cav4mxo_DB8-1615611253-0.pdb	-77.6127	-72.6671	-4.94558	0	21.1739
cav4mxo_DB8-1772572789-0.pdb	-91.3712	-74.9294	-16.4418	0	19.9394
cav4mxo_DB8-1772811673-0.pdb	-76.4172	-70.0351	-6.38204	0	23.6
cav4mxo_DB8-1772812746-0.pdb	-79.5136	-68.311	-11.2027	0	29.9
cav4mxo_DB8-1772812748-0.pdb	-79.3301	-72.7064	-6.62379	0	23.45
cav4mxo_DB8-1775971237-0.pdb	-91.9012	-75.4283	-16.4729	0	21.0741
cav4mxo_DB8-1775972811-0.pdb	-76.8359	-63.3562	-13.4797	0	23.8696
cav4mxo_DB8-1775988444-0.pdb	-70.0418	-66.5418	-3.5	0	18.8636
cav4mxo_DB8-1775997280-0.pdb	-88.4637	-69.9398	-18.5239	0	20.6667
cav4mxo_DB8-1776002391-0.pdb	-70.4631	-64.4301	-6.03301	0	19.8636
cav4mxo_DB8-1776002396-0.pdb	-77.557	-77.557	0	0	22.3478
cav4mxo_DB8-1776003201-0.pdb	-104.628	-94.701	-9.92673	0	22.7857
cav4mxo_DB8-1776003255-0.pdb	-97.9933	-81.2875	-16.7058	0	20.2308
cav4mxo_DB8-1776111702-0.pdb	-105.11	-94.2672	-10.8424	0	18.5556
cav4mxo_DB8-1857667472-0.pdb	-91.4676	-75.613	-15.8546	0	26.087
cav4mxo_DB8-1857667473-0.pdb	-77.2326	-60.6582	-16.5743	0	18.5652
cav4mxo_DB8-1857679496-0.pdb	-83.0584	-75.4857	-7.57278	0	25.6087
cav4mxo_DB8-1857680662-0.pdb	-79.0195	-72.0195	-7	0	22.8182
cav4mxo_DB8-1857692157-0.pdb	-85.0997	-73.7115	-11.3882	0	21.125
cav4mxo_DB8-1857692158-0.pdb	-88.219	-81.3057	-6.91327	0	21.4167
cav4mxo_DB8-1857700351-0.pdb	-80.5591	-73.1645	-7.39459	0	22.5652
cav4mxo_DB8-1857708016-0.pdb	-85.2197	-77.3993	-7.82039	0	24.6522
cav4mxo_DB8-1857711226-0.pdb	-80.8027	-71.724	-9.07866	0	19.4783
cav4mxo_DB8-1875259509-0.pdb	-103.116	-102.657	-0.459694	0	19.7941
cav4mxo_DB8-1875267050-0.pdb	-84.737	-77.8244	-6.91258	0	22.7083
cav4mxo_DB8-1875270332-0.pdb	-86.0226	-71.1224	-14.9002	0	21.4783
cav4mxo_DB8-1875270333-0.pdb	-78.8341	-55.7096	-23.1245	0	17
cav4mxo_DB8-1875282056-0.pdb	-82.3954	-70.4959	-11.8995	0	22.4286
cav4mxo_DB8-1875283398-0.pdb	-83.9677	-66.9485	-17.0192	0	19.7826
cav4mxo_DB8-1875286782-0.pdb	-78.8693	-70.7881	-8.08127	0	22.381
cav4mxo_DB8-1875288042-0.pdb	-92.1571	-73.9749	-18.1822	0	20.0435
cav4mxo_DB8-1875300030-0.pdb	-95.6367	-89.8067	-5.82993	0	20.3333
cav4mxo_DB8-1875309263-0.pdb	-93.0382	-72.2041	-20.8341	0	22.32
cav4mxo_DB8-1875318097-0.pdb	-94.1793	-84.6793	-9.5	0	18.9
cav4mxo_DB8-1875321053-0.pdb	-63.9827	-57.1758	-6.80684	0	25.1176
cav4mxo_DB8-1875323713-0.pdb	-69.9548	-63.2435	-6.71138	0	20.15
cav4mxo_DB8-1875323714-0.pdb	-73.3977	-66.3977	-7	0	20.55
cav4mxo_DB8-1875333279-0.pdb	-77.0179	-49.357	-27.6609	0	19.15
cav4mxo_DB8-1875334796-0.pdb	-94.5944	-79.192	-15.4024	0	18
cav4mxo_DB8-1875334797-0.pdb	-92.6864	-78.8149	-13.8715	0	18.1875
cav4mxo_DB8-1875334815-0.pdb	-82.0033	-66.4258	-15.5775	0	18.4583
cav4mxo_DB8-1875334947-0.pdb	-71.8463	-68.3463	-3.5	0	18.6087
cav4mxo_DB8-1875339735-0.pdb	-99.2794	-82.2211	-17.0583	0	23.28
cav4mxo_DB8-1875342395-0.pdb	-88.4323	-70.5682	-17.8641	0	21.8261
cav4mxo_DB8-1875352049-0.pdb	-90.107	-79.607	-10.5	0	20.6429
cav4mxo_DB8-1875352229-0.pdb	-88.8479	-75.6062	-13.2417	0	18.5172
cav4mxo_DB8-1875358993-0.pdb	-90.9698	-80.6063	-10.3635	0	19.4
cav4mxo_DB8-1875387293-0.pdb	-111.575	-96.6118	-14.9633	0	20.0606
cav4mxo_DB8-1875389351-0.pdb	-83.0348	-72.5135	-10.5213	0	14.375
cav4mxo_DB8-1875403736-0.pdb	-93.6871	-81.3733	-12.3138	0	21.4615
cav4mxo_DB8-1888906599-0.pdb	-64.0285	-54.7723	-9.25615	0	19.8333
cav4mxo_DB8-1888906720-0.pdb	-73.2863	-64.8537	-8.43265	0	26
