#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-895742824-0.pdb	-105.317	-78.9116	-26.4057	0	27.2381
cav1m17_AQ4-898726031-0.pdb	-76.6201	-71.88	-4.74007	0	22.9048
cav1m17_AQ4-899174537-0.pdb	-87.9287	-80.9287	-7	0	20.0385
cav1m17_AQ4-930236002-0.pdb	-84.6025	-68.6078	-15.9947	0	20.3333
cav1m17_AQ4-930781992-0.pdb	-92.6156	-78.6156	-14	0	19.3571
cav1m17_AQ4-932138740-0.pdb	-84.8495	-59.8153	-25.0342	0	18.625
cav1m17_AQ4-932436643-0.pdb	-74.6041	-67.6041	-7	0	19.7826
cav1m17_AQ4-952889807-0.pdb	-88.6624	-57.3616	-31.3009	0	20.8696
cav1m17_AQ4-956944795-0.pdb	-82.4365	-71.9847	-10.4517	0	20.4348
cav1m17_AQ4-956944796-0.pdb	-86.866	-73.0623	-13.8037	0	23
cav1m17_AQ4-1120625661-0.pdb	-87.6595	-68.2448	-19.4147	0	22.3913
cav1m17_AQ4-1174885768-0.pdb	-74.3587	-67.3587	-7	0	20.7
cav1m17_AQ4-1175164193-0.pdb	-71.2043	-64.5679	-6.63642	0	20.6
cav1m17_AQ4-1186757257-0.pdb	-68.6912	-57.2914	-11.3998	0	22.9375
cav1m17_AQ4-1262209363-0.pdb	-81.0013	-69.1138	-11.8875	0	20.9091
cav1m17_AQ4-1306985536-0.pdb	-74.0133	-64.7292	-9.28417	0	20.2
cav1m17_AQ4-1331956343-0.pdb	-88.9572	-71.4572	-17.5	0	18.36
cav1m17_AQ4-1337303424-0.pdb	-96.7114	-77.8945	-18.8168	0	24.4545
cav1m17_AQ4-1337555577-0.pdb	-82.4834	-68.6028	-13.8806	0	23.95
cav1m17_AQ4-1338083830-0.pdb	-83.6664	-76.6664	-7	0	22
cav1m17_AQ4-1339808042-0.pdb	-108.611	-78.6864	-29.9247	0	29.9
cav1m17_AQ4-1342613141-0.pdb	-81.3851	-70.3721	-11.013	0	21.3182
cav1m17_AQ4-1342613144-0.pdb	-94.2176	-75.9147	-18.3028	0	24.5455
cav1m17_AQ4-1472785679-0.pdb	-77.7575	-70.7868	-6.97068	0	22.9048
cav1m17_AQ4-1516027740-0.pdb	-86.6862	-71.2517	-15.4346	0	22.1818
cav1m17_AQ4-1604316247-0.pdb	-101.582	-84.3529	-19.7488	2.51924	22.5
cav1m17_AQ4-1604316248-0.pdb	-92.3393	-76.5768	-15.7625	0	23.875
cav1m17_AQ4-1611872747-0.pdb	-87.9918	-82.2501	-5.74174	0	21
cav1m17_AQ4-1614692408-0.pdb	-79.2437	-65.359	-13.8847	0	17.4167
cav1m17_AQ4-1615611253-0.pdb	-86.3064	-82.8064	-3.5	0	22.3913
cav1m17_AQ4-1772572789-0.pdb	-109.504	-88.5645	-20.939	0	19.7576
cav1m17_AQ4-1772811673-0.pdb	-90.6304	-73.2923	-17.3382	0	28.1
cav1m17_AQ4-1772812746-0.pdb	-83.6413	-69.6413	-14	0	24
cav1m17_AQ4-1772812748-0.pdb	-85.5164	-78.5164	-7	0	24.5
cav1m17_AQ4-1775971237-0.pdb	-89.2964	-86.7964	-2.5	0	20.5556
